Selection	Begin File	End File	Begin Time (s)	End Time (s)	Begin Date Time	End Date	End Clock Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Species	Signal Type	annotator
82	CESCAB_20240808_001752.flac	CESCAB_20240808_001752.flac	38283.532700062	38284.450999975	2024/8/8  0:17:55.5327	2024/8/8	0:17:56.4510	0.9183	5090.498	14457.014	5156.25	Delphinidae	whistles	MC
83	CESCAB_20240808_004022.flac	CESCAB_20240808_004022.flac	38370.52699995	38398.793299913	2024/8/8  0:40:22.5270	2024/8/8	0:40:50.7933	28.2663	18733.032	44185.52	18750	Delphinidae	clicks	MC
84	CESCAB_20240808_014022.flac	CESCAB_20240808_020252.flac	38631.024499893	38703.795900106	2024/8/8  1:40:43.0245	2024/8/8	2:02:55.7959	72.7714	5497.738	24390.594	5625	Physeter macrocephalus	clicks	MC
85	CESCAB_20240808_084022.flac	CESCAB_20240808_084752.flac	40307.244199991	40343.425100088	2024/8/8  8:40:39.2442	2024/8/8	8:48:15.4251	36.1809	3364.269	19141.531	15000	Physeter macrocephalus	clicks	MC
86	CESCAB_20240808_095522.flac	CESCAB_20240808_100252.flac	40590.834599972	40623.227799892	2024/8/8  9:55:22.8346	2024/8/8	10:02:55.2278	32.3932	7656.613	16473.318	10781.25	Physeter macrocephalus	clicks	MC
87	CESCAB_20240808_123252.flac	CESCAB_20240808_124752.flac	41228.376100063	41300.161299944	2024/8/8  12:33:00.3761	2024/8/8	12:48:12.1613	71.7852	8120.65	14153.132	11718.75	Delphinidae	whistles	MC
88	CESCAB_20240808_125522.flac	CESCAB_20240808_125522.flac	41333.402499914	41339.960200071	2024/8/8  12:55:45.4025	2024/8/8	12:55:51.9602	6.5577	5104.408	16009.281	9843.75	Delphinidae	whistles	MC
89	CESCAB_20240808_130252.flac	CESCAB_20240808_130252.flac	41365.162499905	41368.469700098	2024/8/8  13:03:17.1625	2024/8/8	13:03:20.4697	3.3072	7888.631	16241.299	10781.25	Delphinidae	whistles	MC
90	CESCAB_20240808_151752.flac	CESCAB_20240808_152522.flac	41886.778100014	41912.443900108	2024/8/8  15:17:58.7781	2024/8/8	15:25:24.4439	25.6658	21693.735	46287.703	30000	Delphinidae	clicks	MC
91	CESCAB_20240808_152522.flac	CESCAB_20240808_154752.flac	41939.794399977	42002.14989996	2024/8/8  15:25:51.7944	2024/8/8	15:47:54.1499	62.3555	18329.466	46635.731	35625	Delphinidae	clicks	MC
92	CESCAB_20240808_154022.flac	CESCAB_20240808_154022.flac	41976.822900057	41985.952899933	2024/8/8  15:40:28.8229	2024/8/8	15:40:37.9529	9.13	5104.408	16705.336	16406.25	Delphinidae	whistles	MC
93	CESCAB_20240808_154752.flac	CESCAB_20240808_161022.flac	42002.208499908	42114.868999958	2024/8/8  15:47:54.2085	2024/8/8	16:10:46.8690	112.6605	19373.55	41763.341	35156.25	Delphinidae	clicks	MC
94	CESCAB_20240808_155522.flac	CESCAB_20240808_155522.flac	42033.363399983	42045.51789999	2024/8/8  15:55:25.3634	2024/8/8	15:55:37.5179	12.1545	4640.371	16125.29	14062.5	Delphinidae	whistles	MC
95	CESCAB_20240808_160252.flac	CESCAB_20240808_161752.flac	42083.29550004	42120.26789999	2024/8/8  16:03:15.2955	2024/8/8	16:17:52.2679	36.9724	3248.26	17749.42	9375	Delphinidae	whistles	MC
96	CESCAB_20240808_163252.flac	CESCAB_20240808_163252.flac	42180.718300104	42207.189500093	2024/8/8  16:32:52.7183	2024/8/8	16:33:19.1895	26.4712	3364.269	15313.225	9843.75	Delphinidae	whistles	MC
97	CESCAB_20240808_204752.flac	CESCAB_20240808_214752.flac	43219.726500034	43461.154799938	2024/8/8  20:48:11.7265	2024/8/8	21:48:13.1548	241.4283	10556.845	30046.404	16875	Physeter macrocephalus	clicks	MC
98	CESCAB_20240808_214752.flac	CESCAB_20240808_221022.flac	43461.652299881	43543.229000092	2024/8/8  21:48:13.6523	2024/8/8	22:10:35.2290	81.5767	9280.742	22737.819	13593.75	Physeter macrocephalus	clicks	MC
99	CESCAB_20240808_221022.flac	CESCAB_20240808_233252.flac	43543.952600002	43866.60710001	2024/8/8  22:10:35.9526	2024/8/8	23:32:58.6071	322.6545	3596.288	24825.986	8437.5	Physeter macrocephalus	clicks	MC
100	CESCAB_20240808_233252.flac	CESCAB_20240808_234752.flac	43872.07949996	43947.09829998	2024/8/8  23:33:04.0795	2024/8/8	23:48:19.0983	75.0188	3596.288	18329.466	5156.25	Physeter macrocephalus	clicks	MC
101	CESCAB_20240808_233252.flac	CESCAB_20240808_234752.flac	43872.814399958	43939.522900105	2024/8/8  23:33:04.8144	2024/8/8	23:48:11.5229	66.7085	24825.986	46635.731	34687.5	Delphinidae	clicks	MC
102	CESCAB_20240808_234752.flac	CESCAB_20240808_234752.flac	43927.627300024	43929.945100069	2024/8/8  23:47:59.6273	2024/8/8	23:48:01.9451	2.3178	4292.343	17169.374	5625	Delphinidae	whistles	MC
103	CESCAB_20240808_234752.flac	CESCAB_20240809_004022.flac	43949.461400032	44159.796799898	2024/8/8  23:48:21.4614	2024/8/9	0:40:51.7968	210.3354	4524.362	17517.401	4687.5	Physeter macrocephalus	clicks	MC
104	CESCAB_20240809_005522.flac	CESCAB_20240809_012522.flac	44190.210400105	44310.052099943	2024/8/9  0:55:22.2104	2024/8/9	1:25:22.0521	119.8417	23433.875	47679.814	42656.25	Delphinidae	clicks	MC
105	CESCAB_20240809_010252.flac	CESCAB_20240809_011022.flac	44231.270999908	44252.046799898	2024/8/9  1:03:03.2710	2024/8/9	1:10:24.0468	20.7758	4872.39	18213.457	5156.25	Delphinidae	whistles	MC
106	CESCAB_20240809_011752.flac	CESCAB_20240809_012522.flac	44293.671799898	44312.31340003	2024/8/9  1:18:05.6718	2024/8/9	1:25:24.3134	18.6416	3016.241	21809.745	5156.25	Delphinidae	whistles	MC
107	CESCAB_20240809_045522.flac	CESCAB_20240809_051752.flac	45159.048399925	45248.424400091	2024/8/9  4:55:31.0484	2024/8/9	5:18:00.4244	89.376	25290.023	46403.712	37500	Delphinidae	clicks	MC
108	CESCAB_20240809_045522.flac	CESCAB_20240809_050252.flac	45179.59800005	45208.316600084	2024/8/9  4:55:51.5980	2024/8/9	5:03:20.3166	28.7186	6032.483	18213.457	6093.75	Delphinidae	whistles	MC
109	CESCAB_20240809_051752.flac	CESCAB_20240809_051752.flac	45243.421200037	45248.820100069	2024/8/9  5:17:55.4212	2024/8/9	5:18:00.8201	5.3989	7076.566	15545.244	8437.5	Delphinidae	whistles	MC
110	CESCAB_20240809_051752.flac	CESCAB_20240809_053252.flac	45266.562200069	45319.957299948	2024/8/9  5:18:18.5622	2024/8/9	5:33:11.9573	53.3951	20881.671	43619.49	36093.75	Delphinidae	clicks	MC
111	CESCAB_20240809_060252.flac	CESCAB_20240809_060252.flac	45427.403300047	45433.67840004	2024/8/9  6:02:59.4033	2024/8/9	6:03:05.6784	6.2751	5104.408	17749.42	6093.75	Delphinidae	whistles	MC
112	CESCAB_20240809_084022.flac	CESCAB_20240809_085522.flac	46050.189699888	46127.978600025	2024/8/9  8:40:22.1897	2024/8/9	8:55:39.9786	77.7889	7192.575	16473.318	12187.5	Physeter macrocephalus	clicks	MC
113	CESCAB_20240809_090252.flac	CESCAB_20240809_091752_surface_glider_noise.flac	46161.434700012	46208.130700111	2024/8/9  9:03:13.4347	2024/8/9	9:18:00.1307	46.696	4408.353	16357.309	7031.25	Physeter macrocephalus	clicks	MC
114	CESCAB_20240809_091752_surface_glider_noise.flac	CESCAB_20240809_105522.flac	46218.747499943	46615.335400105	2024/8/9  9:18:10.7475	2024/8/9	10:55:47.3354	396.5879	8236.659	18445.476	14062.5	Physeter macrocephalus	clicks	MC
115	CESCAB_20240809_105522.flac	CESCAB_20240809_113252.flac	46615.719899893	46766.48119998	2024/8/9  10:55:47.7199	2024/8/9	11:33:18.4812	150.7613	7424.594	17285.383	15468.75	Physeter macrocephalus	clicks	MC
116	CESCAB_20240809_114022.flac	CESCAB_20240809_120252.flac	46799.993700028	46888.569099903	2024/8/9  11:40:51.9937	2024/8/9	12:03:20.5691	88.5754	8816.705	23897.912	11718.75	Physeter macrocephalus	clicks	MC
117	CESCAB_20240809_165522.flac	CESCAB_20240809_172522.flac	48041.055299997	48177.389499903	2024/8/9  16:55:33.0553	2024/8/9	17:25:49.3895	136.3342	5800.464	14617.169	6093.75	Physeter macrocephalus	clicks	MC
118	CESCAB_20240809_194752.flac	CESCAB_20240809_202522.flac	48720.984899998	48882.430900097	2024/8/9  19:47:52.9849	2024/8/9	20:25:34.4309	161.446	14965.197	41415.313	37031.25	Delphinidae	whistles	MC
