Selection	Begin File	End File	Begin Time (s)	End Time (s)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	End Date	End Clock Time	Species	Signal Type	annotator
87	CESCAB_20240806_070252.flac	CESCAB_20240806_071022.flac	28380.237873477	28439.827851391	2024-08-06 07:02:52	59.59	0	27808.564	468.75	2024-08-06	07:10:51	Physeter macrocephalus	clicks	GJ
88	CESCAB_20240806_070252.flac	CESCAB_20240806_070252.flac	28406.436859866	28408.312843653	2024-08-06 07:03:18	1.876	3022.67	16322.418	13593.75	2024-08-06	07:03:20	Delphinidae	whistles	GJ
89	CESCAB_20240806_073252.flac	CESCAB_20240806_073252.flac	28500.773472844	28529.341158671	2024-08-06 07:32:52	28.5677	1511.335	23274.559	2343.75	2024-08-06	07:33:21	Physeter macrocephalus	clicks	GJ
90	CESCAB_20240806_091022.flac	CESCAB_20240806_091022.flac	28893.063261616	28894.939245403	2024-08-06 09:10:25	1.876	4231.738	47455.919	7500	2024-08-06	09:10:26	Delphinidae	whistles	GJ
91	CESCAB_20240806_091022.flac	CESCAB_20240806_091022.flac	28901.029375744	28902.905359531	2024-08-06 09:10:33	1.876	4231.738	46246.851	7500	2024-08-06	09:10:34	Delphinidae	whistles	GJ
92	CESCAB_20240806_091022.flac	CESCAB_20240806_091022.flac	28910.233093213	28912.269856358	2024-08-06 09:10:42	2.0368	4231.738	45944.584	7500	2024-08-06	09:10:44	Delphinidae	whistles	GJ
93	CESCAB_20240806_091022.flac	CESCAB_20240806_091022.flac	28917.295114748	28919.183101399	2024-08-06 09:10:49	1.888	4231.738	49874.055	7500	2024-08-06	09:10:51	Delphinidae	whistles	GJ
94	CESCAB_20240806_091752.flac	CESCAB_20240806_091752.flac	28921.281696679	28923.157680466	2024-08-06 09:17:53	1.876	6952.141	20251.889	9843.75	2024-08-06	09:17:55	Delphinidae	whistles	GJ
95	CESCAB_20240806_091752.flac	CESCAB_20240806_091752.flac	28936.505965268	28938.381949055	2024-08-06 09:18:08	1.876	6649.874	19949.622	9843.75	2024-08-06	09:18:10	Delphinidae	whistles	GJ
96	CESCAB_20240806_123252.flac	CESCAB_20240806_125522.flac	29712.496965995	29798.683536534	2024-08-06 12:33:04	86.1866	0	26901.763	468.75	2024-08-06	12:55:30	Physeter macrocephalus	clicks	GJ
97	CESCAB_20240806_130252.flac	CESCAB_20240806_130252.flac	29827.000171009	29828.876154796	2024-08-06 13:02:59	1.876	7556.675	20856.423	17343.75	2024-08-06	13:03:00	Delphinidae	whistles	GJ
98	CESCAB_20240806_130252.flac	CESCAB_20240806_130252.flac	29837.933262079	29839.809245866	2024-08-06 13:03:09	1.876	7556.675	20856.423	17343.75	2024-08-06	13:03:11	Delphinidae	whistles	GJ
99	CESCAB_20240806_150252.flac	CESCAB_20240806_150252.flac	30306.543809934	30308.260615718	2024-08-06 15:02:58	1.7168	4231.738	23939.394	19218.75	2024-08-06	15:03:00	Delphinidae	whistles	GJ
100	CESCAB_20240806_150252.flac	CESCAB_20240806_150252.flac	30311.130719742	30312.847525526	2024-08-06 15:03:03	1.7168	3456.417	23164.073	4218.75	2024-08-06	15:03:04	Delphinidae	whistles	GJ
101	CESCAB_20240806_151022.flac	CESCAB_20240806_151022.flac	30349.586391563	30351.303197347	2024-08-06 15:10:41	1.7168	4231.738	23939.394	4687.5	2024-08-06	15:10:43	Delphinidae	whistles	GJ
102	CESCAB_20240806_151022.flac	CESCAB_20240806_151022.flac	30357.665790592	30359.382596376	2024-08-06 15:10:49	1.7168	3789.173	23496.829	4218.75	2024-08-06	15:10:51	Delphinidae	whistles	GJ
103	CESCAB_20240806_181752.flac	CESCAB_20240806_185522.flac	31080.308758154	31257.721178515	2024-08-06 18:17:52	177.4124	12392.947	120000	32343.75	2024-08-06	18:55:49	Delphinidae	clicks	GJ
104	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35910.012636059	35911.190583025	2024-08-07 14:25:22	1.1779	2720.403	26901.763	4687.5	2024-08-07	14:25:23	Delphinidae	whistles	GJ
105	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35910.015362155	35939.971654467	2024-08-07 14:25:22	29.9563	5440.806	120000	5625	2024-08-07	14:25:51	Delphinidae	clicks	GJ
106	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35912.651358186	35914.233057125	2024-08-07 14:25:24	1.5817	3627.204	22367.758	4687.5	2024-08-07	14:25:26	Delphinidae	whistles	GJ
107	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35915.079288209	35915.602090659	2024-08-07 14:25:27	0.5228	1813.602	18136.02	4687.5	2024-08-07	14:25:27	Delphinidae	whistles	GJ
108	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35916.335612062	35917.527424428	2024-08-07 14:25:28	1.1918	4231.738	44130.982	4687.5	2024-08-07	14:25:29	Delphinidae	whistles	GJ
109	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35919.018835144	35920.718878067	2024-08-07 14:25:31	1.7	3022.67	38085.642	4687.5	2024-08-07	14:25:32	Delphinidae	whistles	GJ
110	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35921.511052729	35923.387036517	2024-08-07 14:25:33	1.876	2569.27	31889.169	4687.5	2024-08-07	14:25:35	Delphinidae	whistles	GJ
111	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35924.002573992	35925.358315939	2024-08-07 14:25:36	1.3557	4231.738	54710.327	4687.5	2024-08-07	14:25:37	Delphinidae	whistles	GJ
112	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35925.357873719	35925.871815111	2024-08-07 14:25:37	0.5139	4231.738	19345.088	4687.5	2024-08-07	14:25:37	Delphinidae	whistles	GJ
113	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35926.036455727	35927.522187252	2024-08-07 14:25:38	1.4857	4080.605	50327.456	4687.5	2024-08-07	14:25:39	Delphinidae	whistles	GJ
114	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35927.480097225	35928.791533879	2024-08-07 14:25:39	1.3114	2115.869	41108.312	4687.5	2024-08-07	14:25:40	Delphinidae	whistles	GJ
115	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35929.977593595	35930.628881394	2024-08-07 14:25:41	0.6513	4231.738	41410.579	4687.5	2024-08-07	14:25:42	Delphinidae	whistles	GJ
116	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35930.726353037	35932.232732978	2024-08-07 14:25:42	1.5064	2418.136	36876.574	4687.5	2024-08-07	14:25:44	Delphinidae	whistles	GJ
117	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35932.310896111	35933.609041178	2024-08-07 14:25:44	1.2981	4231.738	37783.375	4687.5	2024-08-07	14:25:45	Delphinidae	whistles	GJ
